SysOrderId,InstrumentId,UserId,FrontId,Timestamp,LocalTime,InsertLocalTime,Buy,OrderPrice,OrderVol,FirstTradeLocalTime,LastTradeLocalTime,TradeVol,AverageTradePrice,Tick2Trade,Tick2Recv,Order2Ack,Order2FrontAck
10114518#36402,123057.SZ,Oes000000000,-1,'11:23:28.940','20221201 11:23:26.026323193','20221201 11:23:26.026331685',0,240.560000,110,'','',0,0.000000,8492,433,3420177,-1
10114519#36403,123057.SZ,Oes000000000,-1,'11:23:28.940','20221201 11:23:26.026372311','20221201 11:23:26.026381065',0,240.549000,500,'','',0,0.000000,8754,569,3431580,-1
10114537#36404,123057.SZ,Oes000000000,-1,'11:23:28.940','20221201 11:23:26.030233388','20221201 11:23:26.030242821',0,240.519000,170,'','',0,0.000000,9433,721,3152500,-1
10114538#36405,123057.SZ,Oes000000000,-1,'11:23:28.940','20221201 11:23:26.030360053','20221201 11:23:26.030368726',0,240.519000,170,'','',0,0.000000,8673,498,3238274,-1
10114539#36406,123057.SZ,Oes000000000,-1,'11:23:28.940','20221201 11:23:26.033492696','20221201 11:23:26.033501806',0,240.500000,20,'','',0,0.000000,9110,583,3286907,-1
10114540#36407,123057.SZ,Oes000000000,-1,'11:23:28.940','20221201 11:23:26.033778582','20221201 11:23:26.033787450',0,240.500000,20,'','',0,0.000000,8868,536,3299096,-1
10114541#36408,123057.SZ,Oes000000000,-1,'11:23:28.950','20221201 11:23:26.034299769','20221201 11:23:26.034308949',0,240.500000,20,'','',0,0.000000,9180,541,3304021,-1
10114542#36409,123057.SZ,Oes000000000,-1,'11:23:28.950','20221201 11:23:26.034393027','20221201 11:23:26.034403615',0,240.500000,20,'','',0,0.000000,10588,474,3243874,-1
10114543#36410,123057.SZ,Oes000000000,-1,'11:23:28.950','20221201 11:23:26.034513789','20221201 11:23:26.034522739',0,240.480000,300,'','',0,0.000000,8950,666,3445235,-1
10114547#36411,123057.SZ,Oes000000000,-1,'11:23:28.950','20221201 11:23:26.034526258','20221201 11:23:26.034537584',0,240.480000,300,'','',0,0.000000,11326,2341,3586204,-1
10114549#36412,123057.SZ,Oes000000000,-1,'11:23:28.950','20221201 11:23:26.036965916','20221201 11:23:26.036974220',0,240.480000,300,'20221201 11:23:26.060566180','20221201 11:23:26.060566180',60,240.480000,8304,556,3338555,-1
10114550#36413,123057.SZ,Oes000000000,-1,'11:23:28.950','20221201 11:23:26.036978696','20221201 11:23:26.036987140',0,240.480000,210,'','',0,0.000000,8444,683,3377679,-1
10114561#36414,123057.SZ,Oes000000000,-1,'11:23:29.310','20221201 11:23:26.395368317','20221201 11:23:26.395384374',0,240.480000,220,'20221201 11:23:26.398882291','20221201 11:23:26.398882291',220,240.480000,16057,689,3475313,-1
10114564#36416,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.604121987','20221201 11:23:27.604136160',0,240.400000,100,'20221201 11:23:27.607793743','20221201 11:23:27.610077529',100,240.400000,14173,560,3615906,-1
10114565#36417,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.604333326','20221201 11:23:27.604344043',0,240.400000,100,'20221201 11:23:27.610117293','20221201 11:23:27.610117293',100,240.400000,10717,631,3516651,-1
10114566#36418,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.608454050','20221201 11:23:27.608464944',0,240.400000,60,'','',0,0.000000,10894,629,3111887,-1
10114567#36419,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.608511783','20221201 11:23:27.608522655',0,240.400000,60,'','',0,0.000000,10872,640,3399475,-1
10114568#36420,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.608524645','20221201 11:23:27.608538055',0,240.392000,70,'20221201 11:23:27.613235883','20221201 11:23:27.613235883',70,240.392000,13410,533,3653118,-1
10114569#36421,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.608555164','20221201 11:23:27.608565267',0,240.392000,70,'20221201 11:23:27.613236270','20221201 11:23:27.614505626',70,240.392000,10103,576,3626424,-1
10114570#36422,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.608567583','20221201 11:23:27.608577124',0,240.392000,70,'20221201 11:23:27.614505759','20221201 11:23:27.614505759',70,240.392000,9541,578,3651651,-1
10114571#36423,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.608579890','20221201 11:23:27.608594322',0,240.392000,70,'20221201 11:23:27.614651880','20221201 11:23:27.614651880',70,240.392000,14432,5597,3670547,-1
10114572#36424,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.608592148','20221201 11:23:27.608606457',0,240.392000,70,'20221201 11:23:27.614652160','20221201 11:23:27.614652160',70,240.392000,14309,3818,3728067,-1
10114573#36425,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.608604372','20221201 11:23:27.608619240',0,240.392000,70,'20221201 11:23:27.614652358','20221201 11:23:27.614652358',70,240.392000,14868,5692,3715577,-1
10114574#36426,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.608616518','20221201 11:23:27.608630813',0,240.392000,70,'20221201 11:23:27.614701444','20221201 11:23:27.614701610',70,240.392000,14295,6439,3884989,-1
10114575#36427,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.608628822','20221201 11:23:27.608639916',0,240.392000,70,'20221201 11:23:27.614751529','20221201 11:23:27.614751529',70,240.392000,11094,3154,3876270,-1
10114576#36428,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.609344835','20221201 11:23:27.609353895',0,240.392000,70,'20221201 11:23:27.614751685','20221201 11:23:27.614751685',70,240.392000,9060,480,3281565,-1
10114577#36429,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.610924822','20221201 11:23:27.610936288',0,240.392000,70,'20221201 11:23:27.614808036','20221201 11:23:27.614808036',70,240.392000,11466,539,3367765,-1
10114578#36430,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.610937265','20221201 11:23:27.610946716',0,240.392000,70,'20221201 11:23:27.614808174','20221201 11:23:27.614808174',70,240.392000,9451,816,3447005,-1
10114579#36431,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.610949699','20221201 11:23:27.610958952',0,240.392000,70,'20221201 11:23:27.614833471','20221201 11:23:27.614833471',20,240.392000,9253,605,3434948,-1
10114586#36432,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.612406928','20221201 11:23:27.612416248',0,240.389000,30,'20221201 11:23:27.615965422','20221201 11:23:27.615965422',30,240.389000,9320,486,3491753,-1
10114587#36433,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.612727148','20221201 11:23:27.612736474',0,240.389000,30,'20221201 11:23:27.618958828','20221201 11:23:27.618958828',30,240.389000,9326,576,3279275,-1
10114588#36434,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.612968088','20221201 11:23:27.612978227',0,240.389000,30,'20221201 11:23:27.618959029','20221201 11:23:27.619070846',30,240.389000,10139,568,3353473,-1
10114589#36435,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.612989804','20221201 11:23:27.612998911',0,240.389000,30,'20221201 11:23:27.619071016','20221201 11:23:27.619071016',30,240.389000,9107,565,3365952,-1
10114590#36436,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.613011430','20221201 11:23:27.613020334',0,240.389000,30,'20221201 11:23:27.619095223','20221201 11:23:27.619095223',10,240.389000,8904,548,3386905,-1
10114591#36437,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.613087113','20221201 11:23:27.613095800',0,240.389000,30,'','',0,0.000000,8687,516,3434386,-1
10114592#36438,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.613108449','20221201 11:23:27.613116783',0,240.389000,30,'','',0,0.000000,8334,530,3491553,-1
10114593#36439,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.613138852','20221201 11:23:27.613147482',0,240.389000,30,'','',0,0.000000,8630,615,3524243,-1
